mutant_ID,tag_idfentifier,transposon_set,contig,position,gene_ID
2011mTn5STM.1.01.A02,H1K1_2A,1,chromosome,2446827,SMc01649
2011mTn5STM.1.01.A03,H1K1_3A,1,chromosome,2193810,NA
2011mTn5STM.1.01.A04,H1K1_4A,1,pSymA,53213,SMa0104
2011mTn5STM.1.01.A05,H1K1_5A,1,chromosome,3199830,SMc03130
2011mTn5STM.1.01.A06,H1K1_6A,1,chromosome,3426879,SMc03762
2011mTn5STM.1.01.A07,H1K1_7A,1,chromosome,944589,SMc00990
2011mTn5STM.1.01.A08,H1K1_8A,1,chromosome,521966,SMc02173
2011mTn5STM.1.01.A09,H1K1_9A,1,pSymB,1463874,NA
2011mTn5STM.1.01.A10,H1K1_10A,1,pSymB,1365304,SMb21435
2011mTn5STM.1.01.A11,H1K1_11A,1,pSymA,1087219,NA
2011mTn5STM.1.01.A12,H1K1_12A,1,chromosome,2093762,SMc04263
2011mTn5STM.1.01.B01,H1K1_1B,1,chromosome,547299,SMc02199
2011mTn5STM.1.01.B02,H1K1_2B,1,chromosome,2446827,SMc01649
2011mTn5STM.1.01.B03,H1K1_3B,1,chromosome,381414,SMc00433
2011mTn5STM.1.01.B04,H1K1_4B,1,pSymB,1354263,SMb21423
2011mTn5STM.1.01.B05,H1K1_5B,1,chromosome,2598314,NA
2011mTn5STM.1.01.B06,H1K1_6B,1,chromosome,43627,SMc02756
2011mTn5STM.1.01.B07,H1K1_7B,1,chromosome,2736785,SMc02031
2011mTn5STM.1.01.B08,H1K1_8B,1,chromosome,1999097,SMc00166
2011mTn5STM.1.01.B09,H1K1_9B,1,pSymB,1186340,SMb20958
2011mTn5STM.1.01.B10,H1K1_10B,1,pSymB,804979,SMb21239
2011mTn5STM.1.01.B11,H1K1_11B,1,chromosome,3250478,SMc03096
2011mTn5STM.1.01.B12,H1K1_12B,1,chromosome,2874355,SMc00705
2011mTn5STM.1.01.C01,H1K1_1C,1,chromosome,92724,SMc02595
2011mTn5STM.1.01.C02,H1K1_2C,1,chromosome,2023194,SMc00147
2011mTn5STM.1.01.C03,H1K1_3C,1,pSymB,586186,SMb20562
2011mTn5STM.1.01.C04,H1K1_4C,1,pSymA,673932,SMa1229
2011mTn5STM.1.01.C05,H1K1_5C,1,pSymA,320289,SMa0601
2011mTn5STM.1.01.C06,H1K1_6C,1,pSymA,49894,SMa0095
2011mTn5STM.1.01.C07,H1K1_7C,1,pSymB,891339,SMb21146
2011mTn5STM.1.01.C08,H1K1_8C,1,chromosome,2183915,SMc04196
2011mTn5STM.1.01.C09,H1K1_9C,1,chromosome,3550240,SMc03883
2011mTn5STM.1.01.C10,H1K1_10C,1,chromosome,148150,SMc04127
2011mTn5STM.1.01.C11,H1K1_11C,1,pSymA,1186897,SMa2103
2011mTn5STM.1.01.C12,H1K1_12C,1,chromosome,3614950,SMc04407
2011mTn5STM.1.01.D01,H1K1_1D,1,pSymA,602608,SMa1103
2011mTn5STM.1.01.D02,H1K1_2D,1,pSymB,1525750,NA
2011mTn5STM.1.01.D03,H1K1_3D,1,pSymA,738717,SMa1349
2011mTn5STM.1.01.D04,H1K1_4D,1,pSymA,360981,SMa0675
